,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23
BR_h72_21,0.000603643497133424,0.000605643485390622,0.916416646185522,2.2067442599979e-17,0.00281550087051145,0.000466005483502782,0.00187235717239168,0.000325500586886834,0.0154951436651284,0.0015071133987416,0.0430940158922418,0.000706843272685248,0.00226960620428011,0.0015419307273874,0.000538257601625001,0.00106948767766444,0.000445886624913211,0.00114342632358613,0.000711340637210232,0.000674444798737312,0.000363854182222442,0.00258194117979547,0.00475141053244212
BR_h72_22,0.0012586128991711,0.000690915233281402,0.88482916512703,2.18529855539585e-17,0.00358014095935025,0.000620191507096018,0.00188464768464523,2.80952769212608e-17,0.00741920779184975,0.00196824880742716,0.0837064544107104,0.0010864226223228,0.0026465174833162,0.000726594837827105,0.000193954476757582,0.000678600902211448,2.71250878306428e-17,0.00101334817676556,0.000528727481187575,0.000706466691662663,0.00012929907042194,0.00302067847182391,0.00331180536514217
BR_h72_23,0.000561002741773066,0.000323659513963099,0.915316858671053,0.000480823280434468,0.00239685164032501,0.00055162205752311,0.0018668283976833,0.000356566121153409,0.0128960836380309,0.00261009636054484,0.0425367791300073,0.000691731997172607,0.00204898896012082,0.000761106492820977,0.000629633061917417,0.00179621686346273,0.00163289435400218,0.00150440277182021,0.00127491174333826,0.000711383192375438,3.06523431751396e-17,0.00215116045869794,0.00690039855178002
BR_h72_24,0.00185871887448777,0.000521239022072918,0.899408559095625,0.00091563388038994,0.00214274472439479,0.00054523192824893,0.0017010383941633,0.000261867144373909,0.0139403537944172,0.00153461327837038,0.0665190693764234,0.00051509106193566,0.00111108454746573,0.00103924918610409,0.00032990937645178,0.000951136656004908,2.7265414109147e-17,0.00131227977512833,0.000989144296099926,0.000539509806250219,3.03133466680915e-17,0.00298899143815275,0.000874534343438739
BR_h120_25,0.000670317490603741,0.00096174497698432,0.879836423889037,2.19754235688538e-17,0.00384761085489613,0.000855788198031603,0.0011963271220367,5.86055187301335e-05,0.000140322613786797,0.00174869623706901,0.0988131199034697,0.000323773818005586,0.00242279949432624,2.86118830771634e-17,2.57689251343123e-17,2.55826322463605e-17,0.0014788671868987,2.66080728246061e-17,0.000333182985719337,0.00136493946272465,0.00186752225597124,3.76796188640577e-17,0.00407995799170892
BR_h120_26,9.58311275307857e-05,0.00021726666160343,0.921659953772646,3.71067065342975e-05,0.00254691413067016,0.00048021732127577,0.00128228158634803,3.09619313792003e-05,0.00211199612634569,0.00162094587429644,0.0565899125434631,0.000231975733994631,0.00259441777419607,0.000430314798629503,0.00032421619824818,2.52407778640794e-17,0.00165064607057625,0.000223503137807045,0.000890282901763965,0.000944321830883804,0.000567654209194584,7.74326770706152e-05,0.0053918468855425
BR_h120_27,0.000474777392739553,0.000561077413301572,0.890236338265256,2.13812268012995e-17,0.00233687788459773,0.00073705249434395,0.000677264212521058,2.74887605821886e-17,3.5836161486623e-17,0.00160145210769313,0.0904346818165278,0.00082874415447138,0.00174924424441888,0.000940401594861023,2.62406609554175e-05,0.000231155170083368,2.65395157782954e-17,2.58886131603273e-17,0.000743634411089218,0.000677356129482758,0.000769134153112856,0.00227547530512955,0.00469909258941444
BR_h120_28,0.000127343596380167,0.00059422771495044,0.91460493675706,2.15020680151097e-17,0.00184755847066365,0.000290571803300161,0.00159743233720673,2.76441200115497e-17,0.00186045012553633,0.000885074959288654,0.0672757909836427,0.000251835714360551,0.00242821787080335,0.000495994943098672,2.52138567057961e-17,7.57229088220466e-05,0.000425018917646008,0.000615990430804146,0.000508461171318118,0.000870948482471532,2.96730640316849e-17,0.000905921046955627,0.00433850176569143
CO_h0_1,0.00132121925719049,0.000463061002704373,0.0130306437205924,1.9324762067642e-17,0.0048889580212863,2.642086968252e-17,0.000306040274962634,2.4844868010702e-17,0.0178418067432424,0.845500488691797,0.0690755289366797,0.00267705115867787,0.00524601066890979,0.00531737290157582,0.000142746295330576,5.21451093218623e-05,0.00585404047241753,2.33986241404139e-17,0.000746382630827334,2.68492346692139e-17,2.66683605422169e-17,0.0155892084554596,0.0119472956590241
CO_h0_2,0.00253711015884504,0.000674668483153401,0.0154186354983128,1.93983667252732e-17,0.00581938595999732,5.50808318963477e-06,0.00206347840409948,5.26226335905438e-06,0.00353303374723723,0.854007018751217,0.0529941755694261,0.00374288646837257,0.00586073219458706,0.0100161883837119,0.000218486842291508,0.000201809886637519,0.0110293955878959,2.34877454301285e-17,0.000732443972967805,2.69514987342807e-17,2.67699356891928e-17,0.0214565976952595,0.00968318204943932
